candidate_id,status_code,label,request_nature,AC_related,response_expected,credential_loc,object_id_loc
61,200,Investigate Further,.,,,,
221,200,non-auth Identifier,api,0,0,cookies,
225,200,Public Page,api,1,1,cookies,path
5,200,non-auth Identifier,api,1,1,cookies,body
14,403,,api,1,1,cookies,body
59,403,,api,1,1,cookies,path
53,200,non-auth Identifier,api,1,1,cookies,path
43,200,ats,ats,0,0,,
44,200,non-auth Identifier,api,0,0,cookies,
47,404,,api,1,1,cookies,path
48,404,,api,1,1,cookies,path
49,204,Potential Weak Vulnerability,api,1,0,cookies,path
55,200,Public Resource,api,1,1,cookies,path
50,403,,api,1,1,cookies,path
57,200,Public Resource,api,1,1,cookies,path
51,200,Public Page,api,1,1,cookies,path
19,403,,api,1,1,cookies,body
99,302,,api,1,1,cookies,path
100,404,,api,1,1,cookies,path
103,200,non-auth Identifier,api,1,1,cookies,path
106,302,non-auth Identifier,api,1,1,cookies,cookies
105,200,non-auth Identifier,api,1,1,cookies,cookies
108,404,,api,1,1,cookies,path
109,404,,api,1,1,cookies,path
111,200,Investigate Further,api,1,1,cookies,path
113,303,,api,1,1,cookies,path
114,200,Public Resource,api,1,1,cookies,path
115,200,Public Resource,api,1,1,cookies,path
131,200,ats,ats,0,0,,
147,200,ats,ats,0,0,,
150,400,bad candidate,,0,0,,
148,400,bad candidate,,0,0,,
151,400,bad candidate,,0,0,,
163,405,non-auth Identifier,api,1,1,headers,
165,200,non-auth Identifier,api,1,1,headers,
183,200,non-auth Identifier,api,1,1,headers,
185,200,non-auth Identifier,api,1,1,headers,
203,200,Vulnerability,api,1,0,cookies,path
204,200,Vulnerability,api,1,0,cookies,query
206,200,Public Resource,api,1,0,cookies,
213,301,Public Resource,api,1,-1,cookies,path
216,500,,api,1,-1,cookies,query
217,200,Public Resource,api,1,-1,cookies,query
215,500,Public Resource,api,1,-1,cookies,query
371,200,Public Resource,api,0,0,headers+cookies,
372,403,,api,1,1,headers+cookies,query
431,200,ats,ats,0,0,,
429,200,ats,ats,0,0,,
448,200,ats,ats,0,0,,
449,200,Weak Vulnerability,api,1,-1,cookies,query
443,400,ats,ats,0,0,,
492,404,,api,1,1,cookies,path
663,401,,api,1,1,cookies,body
661,200,Vulnerability,api,1,0,headers,body
681,200,ats,ats,0,0,,
493,200,non-auth Identifier,api,0,0,cookies,
536,200,ats,ats,0,0,,
531,403,,api,1,1,cookies,query
532,500,bad candidate,,0,0,,
537,200,Weak Vulnerability. Hard to guess value,api,1,0,cookies,path
648,404,,api,1,1,cookies,path
646,500,ats,ats,0,0,,
649,400,ats,ats,0,0,,
652,200,security request,,0,0,,
654,200,non-auth Identifier,api,0,1,cookies,
655,200,non-auth Identifier,api,0,0,,
653,302,bad candidate,,0,0,,
657,200,ats,ats,0,0,,
659,200,ats,ats,0,0,,
981,200,ats,ats,0,0,,
751,404,,api,1,1,cookies,path
756,200,Vulnerability,api,1,0,cookies,path
707,400,ats + bad candidate,,0,0,,
717,200,Vulnerability,api,1,0,cookies,path
760,200,Vulnerability,api,1,0,cookies,path
718,404,,api,1,1,cookies,path
715,404,Partial Vulnerability,api,1,1,cookies,path
719,404,,api,1,1,cookies,path
710,302,,api,1,1,cookies,path
814,403,Third-party request to trusted service,api,1,1,query,query
788,403,,api,1,1,cookies,path
789,200,Weak Vulnerability. Hard to guess value,api,1,0,cookies,path
790,403,,api,1,0,cookies,path
797,200,Weak Vulnerability. Hard to guess value,api,1,0,cookies,path
798,404,Investigate Further,api,1,1,cookies,path
809,404,Partial Vulnerability,api,1,0,cookies,path
858,404,,api,1,1,cookies,path
862,503,Service Temporarily Down,api,0,0,,
867,403,Third-party request to trusted service,api,1,1,query,query
911,400,ats,ats,0,0,,
936,200,non-auth Identifier,api,0,1,,
935,200,non-auth Identifier,api,0,1,,
985,400,ats + bad candidate,ats,0,0,,
988,200,ats,ats,0,0,,
994,404,,api,1,1,cookies,path
1059,302,ats,ats,0,0,,
1060,400,security request,,0,0,,
1061,400,security request,,0,0,,
1066,200,Public Resource,api,1,1,cookies,body
1064,403,,api,1,1,cookies,body
1073,400,,api,1,1,cookies,body
1069,200,Weak Vulnerability,api,1,1,cookies,body
1100,200,security request,,0,0,,
1087,200,security request,,0,0,,
1088,200,security request,,0,0,,
1108,204,ats,ats,0,0,,
1752,200,ats,ats,0,0,,
1763,403,security request,,0,0,,
1771,200,non-auth Identifier,,0,0,,
1349,400,ats + bad candidate,,0,0,,
1437,200,ats,ats,0,0,,
1321,200,security request,api,0,0,,
1323,400,ats + bad candidate,,0,0,,
1324,400,bad candidate,,0,0,,
1375,504,ats,,0,0,,
1414,400,Blocked at Cloudeflare,api,0,0,,
1661,200,ats,ats,0,0,,
1453,403,Third-party request to trusted service,api,1,1,query,query
1555,401,,api,1,1,headers,body
1344,200,Partial Vulnerability,api,1,0,headers,query
1343,200,Partial Vulnerability,api,1,0,headers,query
2020,200,ats,ats,0,0,,
3117,400,bad candidate,,0,0,,
3118,400,Public Resource,api,0,1,cookies,
3111,200,Public Resource,api,0,1,cookies,
